"","structure.c.0..0.1..0.2..0.3..0.4..0.5..0.6..0.7..0.8..0.9..1..","structure.c.24.37..24.72..25.075..25.425..25.78..26.13..26.47..","structure.c.18.568..19.0795..19.619..20.18..20.7295..21.22925..","structure.c.29.421..29.6505..29.87025..30.0805..30.2805..30.49025..","structure.c.18.455..19.005..19.535..20.06..20.59..21.105..21.62..","structure.c.14.13975..14.9..15.649..16.389..17.0995..17.77975..","structure.c.21.641..22.0705..22.5005..22.91..23.31..23.72..24.12.."
"226",22.5,65.315,59.93975,74.79125,74.48,69.466,77.61125
"227",22.6,65.4,59.97975,74.97175,74.585,69.526,77.71175
"228",22.7,65.485,60.00975,75.152,74.69,69.586,77.8415
"229",22.8,65.56,60.04,75.33225,74.78,69.646,77.97125
"230",22.9,65.645,60.07975,75.5125,74.88,69.71575,78.101
"231",23,65.725,60.11,75.69275,74.965,69.7465,78.22025
"232",23.1,65.805,60.14,75.87325,75.05,69.787,78.32025
"233",23.2,65.885,60.17,76.0535,75.13,69.82725,78.41
"234",23.3,65.95,60.20975,76.23375,75.22,69.86775,78.491
"235",23.4,66.025,60.24,76.42375,75.31,69.8985,78.58175
"236",23.5,66.11,60.27975,76.61375,75.39,69.93875,78.682
"237",23.6,66.19,60.30975,76.80375,75.475,69.9695,78.8015
"238",23.7,66.265,60.34,76.99375,75.56,70.01,78.92075
"239",23.8,66.34,60.37,77.18375,75.64,70.05975,79.03025
"240",23.9,66.415,60.4,77.37375,75.715,70.11,79.1305
"241",24,66.485,60.42975,77.56325,75.795,70.17,79.22125
"242",24.1,66.555,60.45975,77.75275,75.88,70.23,79.341
"243",24.2,66.63,60.48975,77.9425,75.96,70.29,79.46075
"244",24.3,66.695,60.5195,78.132,76.03,70.35,79.57025
"245",24.4,66.77,60.5495,78.3215,76.115,70.41,79.68025
"246",24.5,66.845,60.57925,78.511,76.185,70.46,79.771
"247",24.6,66.91,60.5995,78.69075,76.26,70.49,79.871
"248",24.7,66.975,60.62925,78.88025,76.34,70.53,79.9805
"249",24.8,67.04,60.65925,79.06025,76.42,70.57975,80.08025
"250",24.9,67.105,60.689,79.2405,76.49,70.6295,80.17025
"251",25,67.17,60.70925,79.411,76.57,70.6695,80.26
"252",25.1,67.235,60.739,79.5715,76.64,70.7095,80.35
"253",25.2,67.305,60.76875,79.74125,76.705,70.7395,80.43
"254",25.3,67.365,60.789,79.911,76.785,70.7795,80.51025
"255",25.4,67.43,60.81875,80.08075,76.87,70.80975,80.6005
"256",25.5,67.5,60.8485,80.2505,76.94,70.83975,80.69075
"257",25.6,67.565,60.86875,80.43025,77.01,70.87975,80.77125
"258",25.7,67.63,60.88875,80.591,77.085,70.9,80.85175
"259",25.8,67.69,60.90875,80.7615,77.15,70.94,80.942
"260",25.9,67.755,60.929,80.922,77.225,70.97,81.0225
"261",26,67.82,60.949,81.0925,77.3,71,81.11275
"262",26.1,67.875,60.95925,81.263,77.36,71.03,81.2225
"263",26.2,67.93,60.97925,81.42375,77.42,71.06,81.32225
"264",26.3,67.99,60.99925,81.59425,77.475,71.08975,81.4315
"265",26.4,68.045,61.0195,81.78425,77.53,71.10975,81.53125
"266",26.5,68.1,61.0395,81.984,77.595,71.13,81.631
"267",26.6,68.165,61.05,82.17375,77.65,71.1695,81.74025
"268",26.7,68.225,61.07975,82.36375,77.71,71.20925,81.8405
"269",26.8,68.29,61.09975,82.563,77.77,71.239,81.941
"270",26.9,68.36,61.1295,82.7525,77.835,71.26875,82.04125
"271",27,68.43,61.1395,82.942,77.9,71.289,82.14125
"272",27.1,68.485,61.1595,83.141,77.955,71.31875,82.241
"273",27.2,68.54,61.16975,83.3305,78.025,71.3485,82.34075
"274",27.3,68.595,61.1895,83.5105,78.08,71.3685,82.44075
"275",27.4,68.645,61.19975,83.681,78.135,71.39825,82.5405
"276",27.5,68.7,61.21975,83.8515,78.2,71.42825,82.64025
"277",27.6,68.755,61.23,84.01225,78.265,71.44825,82.74025
"278",27.7,68.815,61.25,84.183,78.33,71.478,82.83075
"279",27.8,68.88,61.27975,84.34375,78.385,71.498,82.93075
"280",27.9,68.94,61.2995,84.5045,78.435,71.52775,83.0305
"281",28,68.995,61.3195,84.67525,78.505,71.54775,83.12025
"282",28.1,69.05,61.3395,84.836,78.575,71.5775,83.22
"283",28.2,69.105,61.369,85.0065,78.635,71.5975,83.31
"284",28.3,69.16,61.389,85.1675,78.7,71.6175,83.39025
"285",28.4,69.21,61.409,85.32825,78.765,71.64725,83.4805
"286",28.5,69.265,61.42875,85.49875,78.83,71.66725,83.56075
"287",28.6,69.32,61.44875,85.66925,78.89,71.687,83.65075
"288",28.7,69.375,61.46875,85.84975,78.95,71.71675,83.7305
"289",28.8,69.42,61.4885,86.03,79.005,71.73675,83.81025
"290",28.9,69.48,61.5085,86.21025,79.065,71.75675,83.87075
"291",29,69.54,61.52825,86.3905,79.11,71.77675,83.95075
"292",29.1,69.595,61.54825,86.571,79.165,71.7965,84.0405
"293",29.2,69.64,61.568,86.751,79.22,71.8165,84.1205
"294",29.3,69.685,61.588,86.941,79.275,71.84625,84.2
"295",29.4,69.73,61.60775,87.13075,79.33,71.86625,84.28025
"296",29.5,69.775,61.62775,87.32075,79.375,71.8865,84.36075
"297",29.6,69.825,61.6475,87.51075,79.43,71.9065,84.4505
