Age,Lower LAA,Upper LAA,Lower LAA T&R,Upper LAA T&R
23.1,66.43159645,88.92176566,42.07867334,71.99977785
23.2,66.43176699,89.08604394,42.09323363,72.08036861
23.3,66.431931,89.24934879,42.09611606,72.16041781
23.4,66.43208873,89.41168599,42.09696208,72.25131631
23.5,66.43224043,89.57306127,42.09776553,72.33643136
23.6,66.43238632,89.74682522,42.09855496,72.43782089
23.7,66.43252663,89.94428793,42.09933068,72.52966114
23.8,66.43266158,90.14084077,42.10009301,72.60129904
23.9,66.43279137,90.33648795,42.10084225,72.67240894
24,66.43291621,90.53123365,42.10157869,72.7534267
24.1,66.43303628,90.72508203,42.10230262,72.83842816
24.2,66.43315177,90.91803723,42.10297726,72.91658354
24.3,66.43326286,91.08924235,42.103334,73.00404151
24.4,66.43336972,91.15010528,42.10368225,73.09087809
24.5,66.4334725,91.2102769,42.10402224,73.16686047
24.6,66.43357137,91.27576734,42.10435418,73.23713416
24.7,66.43366648,91.42270882,42.10467831,73.33336452
24.8,66.43375797,91.56876518,42.10485261,73.42377581
24.9,66.43384598,91.71535496,42.1049498,73.50475278
25,66.43393065,91.86289069,42.13141027,73.58513782
25.1,66.43401211,92.00955214,42.16540712,73.66485998
25.2,66.43409047,92.15534449,42.19907243,73.74392475
25.3,66.43416586,92.3002729,42.23240943,73.82833159
25.4,66.43423839,92.44434251,42.26542132,73.91568932
25.5,66.43430817,92.5875584,42.29811127,74.00256464
25.6,66.53854511,92.76224852,42.33048243,74.08341194
25.7,66.54605092,92.93933966,42.36253789,74.17464114
25.8,66.54661187,93.08090059,42.39428075,74.25944718
25.9,66.54715616,93.16151924,42.39998353,74.34361018
26,66.54768428,93.28525744,42.3999844,74.42785328
26.1,66.54819671,93.42359237,42.39998524,74.56669426
26.2,66.54869391,93.61447227,42.39998602,74.66147109
26.3,66.54917635,93.80765118,42.39998677,74.75560398
26.4,66.54964445,94.00009082,42.39998748,74.84909731
26.5,66.55009864,94.18154548,42.39998814,74.94195544
26.6,66.55053935,94.30707211,42.39998878,75.03418267
26.7,66.55096696,94.43179532,42.39998938,75.12596793
26.8,66.55138186,94.55572026,42.39998994,75.21644565
26.9,66.55178444,94.63487045,42.39999048,75.29997968
27,66.55217506,94.70506583,42.39999099,75.40070518
27.1,66.55255408,94.75180073,42.39999147,75.48995627
27.2,66.55292183,94.81809356,42.39999192,75.6751995
27.3,66.55327866,94.8708394,42.39999235,75.8842868
27.4,66.55362489,94.92320883,42.39999276,76.09302841
27.5,66.55396083,94.96976398,42.40010756,76.2155457
27.6,66.5542868,94.98994732,42.40304112,76.26041734
27.7,66.55460307,95.0098286,42.41367531,76.30483668
27.8,66.55490996,95.02941236,42.43599556,76.3488083
27.9,66.55520772,95.06937425,42.4580825,76.39233673
28,66.55549664,95.10934812,42.47993858,76.43542647
28.1,66.55577698,95.14907636,42.50156621,76.47808196
28.2,66.55604899,95.18849832,42.52296779,76.5203076
28.3,66.55631291,95.27571417,42.54414566,76.56210776
28.4,66.556569,95.43310711,42.56510219,76.60348673
28.5,66.55681748,95.63016458,42.58583968,76.68074433
28.6,66.55705857,95.82662451,42.58877645,76.7693306
28.7,66.55729251,96.01696563,42.58908449,76.86793058
28.8,66.55751949,96.19976595,42.58938408,76.96596795
28.9,66.55773973,96.38311085,42.58967545,77.06344592
29,66.55795343,96.5673197,42.58995881,77.16044827
29.1,66.55816078,96.75088261,42.5902344,77.25701884
29.2,66.55836197,96.80120943,42.59050243,77.35338189
29.3,66.55855718,96.84503034,42.5907631,77.44930966
29.4,66.55874659,96.88839961,42.59101661,77.54469322
29.5,66.55893038,96.93132205,42.59126316,77.63953566
29.6,66.5591087,96.97380239,42.59150295,77.73384006
29.7,66.55928173,97.01584534,42.59173616,77.82760946
29.8,66.55944962,97.05745552,42.59196296,77.9208469
29.9,66.55961252,97.1878081,42.59218354,78.0135554
30,66.55977058,97.33239519,42.59239806,78.16701435
30.1,66.55992394,97.44009057,42.5926067,78.3578977
30.2,66.56007275,97.4814105,42.5965845,78.42024552
30.3,66.56021714,97.61254941,42.59668619,78.48212558
30.4,66.56035724,97.74664594,42.59678484,78.54360344
30.5,66.56049317,97.88010868,42.59688056,78.60474533
30.6,66.56062507,98.01294066,42.64725222,78.66542985
30.7,66.56075305,98.1470236,42.70050396,78.76018095
30.8,66.56087723,98.28107044,42.70058216,78.8235196
30.9,66.56099771,98.41448979,42.70065897,78.9098748
31,66.56111462,98.54728459,42.70073442,78.99632166
31.1,66.56122806,98.67945776,42.70080853,79.08342709
31.2,66.56133812,98.81101221,42.70088133,79.17004141
31.3,66.56144492,98.94195084,42.70095285,79.26837799
31.4,66.56154854,99.07227653,42.7010231,79.38065845
31.5,66.56164909,99.20199215,42.70897239,79.49299131
31.6,66.56174664,99.33110056,42.74018477,79.59990311
31.7,66.5618413,99.45960459,42.75070468,79.69122008
31.8,66.56193315,99.58822734,42.75391757,79.78205648
31.9,66.56202227,99.71632994,42.75638018,79.87398756
32,66.56210874,99.84383714,42.75880056,79.97921284
32.1,66.56219264,99.97075171,42.76117942,80.08396389
32.2,66.56227405,100.0970764,42.79315489,80.18824284
32.3,66.56235304,100.222814,42.80229405,80.29205183
32.4,66.56242968,100.3479672,42.80229928,80.39539298
32.5,66.56250405,100.443066,42.81466425,80.49826839
32.6,66.56257621,100.530047,42.83442939,80.60068017
32.7,66.56264622,100.6492663,42.85401933,80.70314537
32.8,66.56271415,100.7156014,42.87343561,80.80549313
32.9,66.56278007,100.7828746,42.89267977,80.90738375
33,66.56284403,100.865081,42.89359772,81.00881927
33.1,66.56290609,100.9486357,42.89425254,81.10980173
33.2,66.5629663,101.0912265,42.89489875,81.21033316
33.3,66.56302472,101.2413902,42.89553649,81.31041556
33.4,66.56308141,101.3919831,42.89616591,81.42632469
33.5,66.56313642,101.5420422,42.89655552,81.54284316
33.6,66.56318979,101.6896524,42.8967065,81.65892935
33.7,66.56324157,101.778136,42.89685365,81.77458485
33.8,66.56329182,101.8661495,42.89699706,81.88981127
33.9,66.56334058,101.9998,42.89713682,82.0046102
34,66.56338788,102.1430155,42.89727304,82.11898323
34.1,66.56343378,102.2856921,42.89740579,82.23293194
34.2,66.56347832,102.4278317,42.89753517,82.34647854
34.3,66.56352153,102.5694364,42.89766127,82.45138536
34.4,66.56356346,102.7105081,42.89778416,82.55081329
34.5,66.56360415,102.8342992,42.89790393,82.64985806
