"","structure.c.0..0.1..0.2..0.3..0.4..0.5..0.6..0.7..0.8..0.9..1..","c.9.845..10.99..12.045..13.13..14.15..15.2..16.175..17.14..18.08..","c..4.991...2.46...0.06..2.2765..4.4545..6.52225..8.43175..10.2055..","c.18.64025..19.11025..19.58..20.0525..20.55275..21.12025..21.62225..","c.24.88..25.275..25.655..26.045..26.43..26.785..27.165..27.56..","c..4.72...3.06...0.862249999999999..0.4325..1.6995..3.17..4.97125..","c.29.781..30.08025..30.3105..30.55075..30.83025..31.15025..31.42125..","c.29..29.315..29.635..29.955..30.335..30.68..30.995..31.305..","c..32.17275...29.96575...27.80875...25.702...23.6355...21.6095..","c.45.81..45.94..46.07..46.19025..46.32025..46.4405..46.5705.."
"136",13.5,51.745,43.79875,67.8925,61.33,56.42,65.761,62.4,58.9995,66.26025
"137",13.6,51.775,43.79875,68.15025,61.5,56.44,66.031,62.555,59.1795,66.39125
"138",13.7,51.815,43.8085,68.32225,61.655,56.45,66.30075,62.73,59.3495,66.522
"139",13.8,51.85,43.80875,68.52375,61.84,56.47,66.5805,62.89,59.49,66.7015
"140",13.9,51.885,43.8185,68.79325,62.005,56.48,66.85025,63.04,59.6595,66.881
"141",14,51.915,43.8185,69.063,62.23,56.5,67.08125,63.195,59.839,67.06025
"142",14.1,51.94,43.8185,69.3325,62.455,56.51,67.341,63.35,60.009,67.23025
"143",14.2,51.97,43.82825,69.59175,62.65,56.52,67.60075,63.51,60.16925,67.3805
"144",14.3,51.995,43.82825,69.86075,62.81,56.53,67.86025,63.69,60.31975,67.52025
"145",14.4,52.02,43.82825,70.1105,62.985,56.55,68.11025,63.83,60.47975,67.68025
"146",14.5,52.045,43.83825,70.331,63.145,56.56,68.3505,63.97,60.649,67.85025
"147",14.6,52.07,43.83825,70.5505,63.29,56.57,68.59125,64.13,60.7795,68.02025
"148",14.7,52.115,43.83825,70.76,63.475,56.58,68.83075,64.275,60.91,68.19025
"149",14.8,52.145,43.83825,70.95075,63.67,56.59,69.06025,64.41,61.04975,68.3105
"150",14.9,52.165,43.83825,71.15075,63.85,56.6,69.2805,64.565,61.2,68.46075
"151",15,52.19,43.83825,71.34075,64.06,56.61,69.54025,64.72,61.35975,68.6115
"152",15.1,52.2,43.83825,71.53075,64.24,56.61,69.781,64.855,61.5095,68.7715
"153",15.2,52.215,43.83825,71.711,64.39,56.62,70.01175,65,61.65975,68.93075
"154",15.3,52.225,43.83825,71.901,64.555,56.63,70.25125,65.165,61.78975,69.07025
"155",15.4,52.24,43.848,72.081,64.695,56.64,70.48075,65.31,61.92975,69.22025
"156",15.5,52.25,43.848,72.271,64.9,56.64,70.72025,65.43,62.11875,69.38
"157",15.6,52.265,43.848,72.49025,65.04,56.65,70.97,65.58,62.2685,69.53
"158",15.7,52.285,43.848,72.6715,65.205,56.66,71.24,65.7,62.39925,69.6805
"159",15.8,52.3,43.84825,72.853,65.38,56.66,71.5,65.83,62.53,69.83025
"160",15.9,52.32,43.84825,73.03425,65.545,56.67,71.76,65.975,62.66,69.97
"161",16,52.33,43.84825,73.2155,65.745,56.68,72.02,66.12,62.79,70.11
"162",16.1,52.35,43.84825,73.38675,65.935,56.68,72.29,66.26,62.92975,70.26075
"163",16.2,52.365,43.84825,73.5575,66.095,56.69,72.55,66.405,63.06975,70.4015
"164",16.3,52.375,43.84825,73.73775,66.26,56.69,72.78075,66.545,63.21975,70.54075
"165",16.4,52.39,43.84825,73.9085,66.425,56.7,72.96275,66.67,63.36,70.67
"166",16.5,52.405,43.84825,74.079,66.585,56.7,73.213,66.81,63.5,70.7905
"167",16.6,52.42,43.84825,74.2495,66.745,56.71,73.473,66.955,63.64975,70.9205
"168",16.7,52.435,43.84825,74.41025,66.89,56.71,73.73325,67.09,63.71,71.08
"169",16.8,52.45,43.84825,74.58075,67.04,56.71,73.99325,67.225,63.79,71.21075
"170",16.9,52.46,43.84825,74.7415,67.18,56.72,74.25325,67.345,63.89975,71.34125
"171",17,52.47,43.84825,74.91175,67.31,56.72,74.51325,67.47,64.03925,71.461
"172",17.1,52.475,43.84825,75.0725,67.465,56.73,74.77325,67.59,64.15975,71.5905
"173",17.2,52.49,43.84825,75.233,67.62,56.73,75.0235,67.71,64.29,71.71
"174",17.3,52.5,43.84825,75.39375,67.82,56.73,75.2835,67.83,64.40875,71.83025
"175",17.4,52.515,43.84825,75.55425,67.97,56.74,75.5435,67.95,64.5395,71.9405
"176",17.5,52.53,43.84825,75.705,68.115,56.74,75.79375,68.07,64.66,72.05075
"177",17.6,52.545,43.84825,75.8655,68.275,56.74,76.05375,68.19,64.79,72.1805
"178",17.7,52.56,43.84825,76.01625,68.425,56.74,76.3035,68.305,64.908,72.32
"179",17.8,52.58,43.84825,76.176,68.58,56.75,76.55325,68.44,65.02775,72.43075
"180",17.9,52.59,43.84825,76.32575,68.72,56.75,76.813,68.575,65.109,72.56075
"181",18,52.61,43.84825,76.47575,68.87,56.75,77.06275,68.705,65.18825,72.69025
"182",18.1,52.63,43.84825,76.6255,68.995,56.75,77.3125,68.84,65.31675,72.8105
"183",18.2,52.65,43.84825,76.7755,69.13,56.76,77.572,68.93,65.44625,72.9405
"184",18.3,52.675,43.84825,76.9155,69.25,56.76,77.82175,69.06,65.5465,73.06
"185",18.4,52.69,43.84825,77.06525,69.43,56.76,78.0715,69.205,65.54925,73.1705
"186",18.5,52.7,43.84825,77.20525,69.59,56.76,78.32125,69.345,65.62925,73.30025
"187",18.6,52.71,43.84825,77.355,69.775,56.76,78.571,69.46,65.71975,73.39025
"188",18.7,52.715,43.84825,77.49475,69.94,56.77,78.82075,69.565,65.8285,73.4905
"189",18.8,52.72,43.84825,77.63475,70.11,56.77,79.0705,69.7,65.939,73.59025
"190",18.9,52.73,43.84825,77.77475,70.24,56.77,79.32025,69.84,66.05925,73.69025
